subj_ID,exp_name,date,session,training-test,trial,eccentricity,xPosition,yPosition,meridian,contrast,ori,VF,resp,accuracy,accCount,condition,trialCount,contrastRule
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,35,['15dva'],-502,0,meridianH,0.3,oriV,left,left,1,3,left_oriV,5,highCont
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,36,['15dva'],0,-502,meridianV,0.06,oriH,down,left,0,0,down_oriH,6,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,37,['15dva'],502,0,meridianH,0.3,oriV,right,right,1,2,right_oriV,5,highCont
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,38,['15dva'],0,502,meridianV,0.06,oriH,up,up,1,1,up_oriH,4,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,39,['15dva'],502,0,meridianH,0.039999999999999994,oriV,right,right,1,1,right_oriV,6,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,40,['15dva'],502,0,meridianH,0.039999999999999994,oriV,right,right,1,2,right_oriV,7,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,41,['15dva'],0,502,meridianV,0.3,oriV,up,up,1,3,up_oriV,5,highCont
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,42,['15dva'],0,502,meridianV,0.3,oriH,up,up,1,2,up_oriH,5,highCont
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,43,['15dva'],-502,0,meridianH,0.030000000000000002,oriH,left,left,1,1,left_oriH,3,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,44,['15dva'],502,0,meridianH,0.019999999999999993,oriV,right,right,1,1,right_oriV,8,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,45,['15dva'],0,502,meridianV,0.06,oriV,up,up,1,1,up_oriV,6,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,46,['15dva'],0,502,meridianV,0.06,oriV,up,up,1,2,up_oriV,7,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,47,['15dva'],-502,0,meridianH,0.06,oriV,left,left,1,1,left_oriV,6,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,48,['15dva'],0,-502,meridianV,0.039999999999999994,oriV,down,down,1,2,down_oriV,7,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,49,['15dva'],-502,0,meridianH,0.030000000000000002,oriH,left,right,0,0,left_oriH,4,staircase
,Radapt_baselineRB_filterednoise,2022_Jun_29_1338,,test,50,['15dva'],-502,0,meridianH,0.3,oriH,left,left,1,1,left_oriH,5,highCont
